ac1	ac10	ac11	ac12	ac13	ac14	ac15	ac16	ac17	ac19	ac2	ac20	ac21	ac22	ac23	ac24	ac25	ac26	ac27	ac28	ac29	ac30	ac31	ac32	ac33	ac34	ac35	ac36	ac37	ac38	ac39	ac41	ac42	ac43	ac44	ac45	ac46	ac48	ac49	ac5	ac50	ac51	ac52	ac53	ac54	ac56	ac58	ac59	ac61	ac62	ac63	ac64	ac65	ac66	ac7	ac8	ac9	cdz1	cdz10	cdz11	cdz12	cdz13	cdz14	cdz15	cdz16	cdz2	cdz3	cdz33	cdz34	cdz35	cdz36	cdz37	cdz38	cdz39	cdz40	cdz5	cdz57	cdz58	cdz59	cdz6	cdz60	cdz61	cdz62	cdz63	cdz64	cdz82	cdz9	csf1	csf101	csf102	csf106	csf109	csf110	csf114	csf115	csf116	csf117	csf118	csf12	csf122	csf126	csf127	csf128	csf130	csf131	csf132	csf134	csf135	csf14	csf142	csf143	csf144	csf148	csf149	csf15	csf152	csf154	csf155	csf158	csf16	csf160	csf163	csf164	csf166	csf167	csf168	csf171	csf173	csf174	csf178	csf180	csf181	csf186	csf187	csf192	csf193	csf195	csf197	csf199	csf2	csf201	csf203	csf205	csf208	csf211	csf213	csf215	csf217	csf22	csf226	csf227	csf228	csf229	csf23	csf232	csf233	csf239	csf240	csf242	csf245	csf246	csf253	csf254	csf256	csf258	csf26	csf261	csf263	csf264	csf265	csf269	csf27	csf274	csf276	csf278	csf279	csf28	csf280	csf281	csf283	csf284	csf287	csf290	csf291	csf292	csf293	csf296	csf297	csf3	csf33	csf34	csf35	csf37	csf41	csf43	csf44	csf47	csf5	csf50	csf54	csf57	csf58	csf59	csf61	csf62	csf64	csf68	csf69	csf72	csf73	csf75	csf79	csf81	csf82	csf83	csf84	csf85	csf91	csf93	csf95	csf98	csf99	hm1	hm10	hm11	hm12	hm13	hm14	hm15	hm16	hm17	hm19	hm20	hm21	hm22	hm24	hm25	hm26	hm27	hm28	hm29	hm3	hm30	hm31	hm33	hm34	hm35	hm36	hm37	hm38	hm39	hm4	hm40	hm41	hm42	hm43	hm44	hm45	hm46	hm47	hm48	hm49	hm5	hm50	hm51	hm52	hm53	hm54	hm55	hm56	hm57	hm58	hm59	hm6	hm61	hm62	hm63	hm64	hm66	hm8	hm9	syn2
OTU_13	3	195	2	20	2	53	9	2	16	0	2	0	260	80	0	23	2	1	2	0	53	2	0	4	3	34	0	46	1	0	29	0	0	25	2	1	0	0	12	0	5	7	0	0	0	0	0	0	0	0	55	9	0	0	42	72	1	2	268	103	517	25	10494	19	35	5	12	4365	3508	32552	14032	1814	11936	125	16934	15	18431	21729	22464	11	4208	3679	346	4218	30	29	141	1	5	26	8	1	19	2	2	2	1	1	0	4	1191	5	2	1	21	742	9	3	0	88	1168	167	928	877	2	0	2	1	0	1	0	10	0	0	2	0	23	12	1	10	3	7	0	5	10	3	12	0	48	61	0	0	0	2	9	0	2	2	0	0	0	0	2	1	5	0	0	2	1	1	0	0	0	0	0	1	0	2	1	3	0	0	0	3	0	3	1	3	0	0	1	0	0	5	1	1	0	0	1	12	1	1	2	4	13	9	100	3	6	2250	1553	138	290	8	2	6	4	23	24	1	1	29	3	0	0	0	0	0	1	0	2	44	0	0	0	2	1	2	0	0	0	0	0	7	1	30	1	3	3	1	6	0	0	0	2	0	2	15	0	1	0	0	0	4	0	2	17	0	1	2	0	7	2903	2	0	1	1	1	0	0	0	2	0	3	1	0	2	0	0	0	1	3836
OTU_23	8	1	0	0	3	0	1	2	1	1	0	0	1	0	0	2	0	1	8	0	1	0	2	0	0	0	1	2	2	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	4	35	1	3	12	55	12688	1	2	13913	23971	5	9	55	3	11	3	10	151	2	31	3	1127	1396	4594	10	3818	201	79	35	6	576	18	3	269	11	2	0	34	4	58	3	1	19	0	6	3	3	0	3	0	10	0	0	0	18	4	158	11	388	2	0	4	10	2	2	3	1	1	0	0	1	231	126	10	37	35	651	187	18	1	6	21	2	7	110	0	0	5	0	33	0	4	65	0	0	0	0	1	0	0	2	2	1	0	2	1	0	17	261	7	0	0	0	1	0	0	0	0	467	73	347	0	208	0	10	0	0	4	0	9	2	0	7	0	16	3	28	23	116	83	7	16	0	7	457	382	1899	216	1644	7	12	6	31	0	4	0	0	13	3	4	9	15	17	6	43	283	115	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	14	2	0	0	0	1	217	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	1	0	0	637
OTU_35	4	1	35	7	7	9	6	1	0	5	1	2	8	29	0	3	2	2	10	1	0	7663	2	0	1	3	0	209	0	1	11	0	1	6	0	53	3	0	3	0	1	0	1	24	2	1	1	1	0	0	0	0	1	5	1	2	1	0	9	20	8255	20	2532	325	14	1	65	108	211	926	9886	2	60	5	23	0	13	5432	15	3	5624	11	72	7	4	428	35	6	499	259	33	16	54	11	79	7	5	38	1	43	253	9	7	246	3	3	2	1	32	0	3	3	349	0	3	0	0	3	0	2	1	0	2	2	3	1	850	1064	102	279	92	150	7	9	199	172	241	228	327	174	2	0	2	6	8	2	3	5	3	13	1	0	2	3	3	1	2	22	0	7	6	6	28	23	24	0	11	8	1	3	7	0	0	1	2	1	1	0	3	1	6	3	13	0	1	3	0	120	2	77	26	71	79	13	9	3	4	2	15	803	889	1704	127	460	6	35	13	100	16	9	0	0	106	123	8	69	23	7	10	31	169	10	2	0	0	0	0	0	0	0	1	13	0	1	0	2	1	4	0	2	1	1	0	3	1	2	5	15	0	1	4	0	1	4	0	2	495	0	1	0	1	3	1089	0	2	0	1	1	0	1	1	0	0	0	2	1	0	1	0	0	0	2
OTU_36	0	5903	1	17	1	409	25	20	70	5	0	0	403	102	1	425	1	1	4	0	779	3	0	103	0	26	3	11	0	3	6	0	0	81	16	5	0	0	2	0	6	0	1	0	4	0	0	6	0	1	1054	100	2	13	2	284	7	10	0	0	2	0	7	0	1	5	5	1	0	2	0	0	2	0	0	4	0	0	2	2	3	0	0	0	0	0	0	0	0	10	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	18	0	2	1	0	0	0	0	2	0	0	4	2	1	0	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	47	0	1	0	0	0	0	3	0	0	0	0	22	0	10	0	22	0	0	0	0	16	0	0	0	0	5	267	0	0	1	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	39715
OTU_37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	1	0	0	0	0	0	11	0	10	356	1	13	0	16	9	12	7	2	4	1	1	3	0	1	15	1	1	1	15	1	0	0	0	1	16	3	0	0	0	2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	16	39	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	17	8	7	0	3	0	0	0	1	2	11	19	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	65101
OTU_40	142	23	43	194	314	208	175	182	176	150	327	258	119	107	154	47	285	300	629	395	40	260	46	286	367	495	297	449	372	389	578	383	307	236	359	241	237	253	262	99	514	301	225	212	158	272	237	209	115	137	172	88	220	62	137	246	78	20	3	10	5	56	52	42	11	38	28	23	17	9	18	3	1	20	15	35	9	19	38	26	33	35	27	40	23	0	8	109	240	175	174	141	197	251	220	85	172	120	129	101	67	76	88	32	46	86	108	193	159	39	234	63	81	23	135	83	59	64	51	65	102	153	100	108	206	226	181	83	89	181	157	115	140	221	316	171	193	110	207	64	218	114	100	72	392	40	80	137	114	77	70	26	30	98	63	63	44	10	91	254	130	104	276	68	241	219	91	139	100	72	106	235	52	33	121	29	240	28	108	154	100	164	88	132	91	173	61	87	52	115	67	48	75	111	129	122	105	132	193	213	115	65	63	113	99	105	70	49	60	56	66	42	108	255	343	190	83	150	132	156	98	72	171	266	120	252	184	67	155	176	208	225	212	153	236	158	219	241	537	145	205	188	237	493	397	550	361	172	356	178	253	266	338	929	422	407	136	190	337	221	228	217	167	240	276	251	191	271	16	252	371	926	431	210	175	366	467	397	252	205	330	0
OTU_41	141	11	36	111	133	160	153	125	141	97	289	132	132	65	146	11	70	97	160	118	23	80	25	85	265	65	97	129	313	73	179	92	101	171	281	69	81	170	213	68	183	286	201	135	363	153	273	150	114	71	71	48	230	38	101	111	69	3	1	4	8	8	5	5	0	5	14	5	0	1	0	0	0	5	4	6	8	6	6	4	9	6	8	4	10	0	5	237	200	181	209	156	159	206	201	78	171	86	260	301	195	165	197	95	106	208	230	161	338	106	639	150	164	74	264	223	178	141	126	176	239	126	96	104	207	212	178	202	91	192	225	83	121	124	241	188	126	92	162	169	164	65	78	115	1011	114	158	319	267	143	153	103	83	233	153	129	124	29	76	229	147	86	250	58	205	422	172	222	233	192	234	430	125	108	203	75	463	97	279	315	239	379	237	66	62	98	197	62	155	229	150	168	266	354	364	244	217	318	505	486	226	178	128	252	238	162	167	147	123	153	128	115	151	304	361	173	71	153	124	214	87	80	167	171	118	191	186	57	126	120	139	169	143	110	168	124	183	190	184	211	265	171	341	164	140	207	178	163	140	110	287	222	165	233	178	166	172	147	101	157	106	235	115	272	144	92	196	181	24	150	100	172	184	146	223	98	138	196	199	183	198	0
OTU_44	0	2	0	3	0	4	3	0	0	1	0	0	0	0	0	5	0	2	0	0	37	1	1	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	0	0	0	0	0	0	0	0	4	8	111	0	1	0	16845	2	2	2762	29	956	116	2	0	2	5	1	3	18	1777	0	5	0	0	0	2	4	16	0	73	132	295	4	257	14	36	3	7	75	0	4	3	4	0	0	1	114	0	0	0	4	8	2	8	1743	1	0	1	0	0	0	0	0	0	0	0	0	495	991	66	233	19	40	9	1	115	87	1430	7	123	7	1	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	57	149	12	0	2	0	4	0	0	2	0	0	1	0	0	0	21	4	0	7	10	0	732	0	1	0	0	42	59	69	54	0	2	2	0	0	6	334	140	407	73	89	3	4	6	20	14	5	3	0	3	13	0	88	2	1077	21	31	1006	86	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	4
OTU_47	13	0	8	0	4	2	0	0	1	0	6	0	4	1	0	0	0	0	5	3	0	0	0	2	2	2	0	3	0	0	3	0	0	0	12	1	0	0	0	2	0	0	1	1	1	1	37	11	0	8	0	0	0	2	1	0	0	0	2	2	1	4	0	7	1	5	16	6	2	0	0	0	2	0	4	1	5	3	0	2	2	0	0	0	0	0	2	0	3	3	4	1	0	49	1	0	1	0	0	5	0	0	1	0	10868	3580	316	51	8	158	1120	264	355	144	1	0	1	0	0	0	1	1	5	0	1	2	0	0	3	0	1	0	0	0	1	0	2	0	0	2	0	0	1	0	2	0	0	0	3	0	0	1	1	1	0	0	3	0	0	2	1	0	14	5	1	4	2	1	4	0	0	0	0	3	0	1	6	2	2	0	0	0	2	0	0	0	0	0	1	2	2	0	0	0	6	0	0	0	2	0	1	1	16880	0	0	1	0	0	3	0	0	1	1	15	1	0	0	0	0	2	0	3	0	12	1	1	0	0	2	1	0	0	3	0	0	0	2	1	1	0	2	4	1	0	0	0	2	0	0	0	5	0	0	4	0	0	8	2	1	0	1	2	0	0	1	1	0	1	14	1	0	0	0	0	1	0	2	4	0	16	0	0
OTU_49	0	4937	0	7	2	13	14	1	11	3	1	0	0	50	0	2627	14	0	1	1	2256	0	1	1	0	2	0	0	0	1	3	4	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	1	4502	5839	2	1	5	0	4	0	4	9	6280	0	0	1	86	0	0	1	6	0	0	2	13	0	5	3	3	5	3	2	0	6	4	5	0	305	4	0	0	0	1	0	0	2	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	12	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
