domain	phylum	class	order	family	genus	otu.id
OTU_13	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_13
OTU_23	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_23
OTU_35	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Enterobacterales	f:Enterobacteriaceae	g:Klebsiella	OTU_35
OTU_36	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_36
OTU_37	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_37
OTU_40	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Ralstonia	OTU_40
OTU_41	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Paraburkholderia	OTU_41
OTU_44	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_44
OTU_47	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Enterobacterales	f:Enterobacteriaceae	NA	OTU_47
OTU_49	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Aquabacterium	OTU_49
OTU_56	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_56
OTU_59	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_59
OTU_63	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Limnobacter	OTU_63
OTU_64	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Enterobacterales	f:Yersiniaceae	g:Yersinia	OTU_64
OTU_66	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Janthinobacterium	OTU_66
OTU_67	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_67
OTU_73	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Stenotrophomonas	OTU_73
OTU_74	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_74
OTU_77	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Bacillales_Incertae_Sedis XII	g:Exiguobacterium	OTU_77
OTU_81	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_81
OTU_84	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Alkanindiges	OTU_84
OTU_86	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_86
OTU_94	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Duganella	OTU_94
OTU_97	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Paeniglutamicibacter	OTU_97
OTU_98	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Paraburkholderia	OTU_98
OTU_115	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	OTU_115
OTU_116	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Rhizobiaceae	g:Agrobacterium	OTU_116
