domain	phylum	class	order	family	genus	otu.id
OTU_1	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	g:Zymoseptoria	OTU_1
OTU_2	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_2
OTU_4	d:Fungi	NA	NA	NA	NA	NA	OTU_4
OTU_5	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Volvocales	f:Chlamydomonadaceae	g:Chlamydomonas	OTU_5
OTU_6	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Thelebolales	f:Pseudeurotiaceae	g:Pseudogymnoascus	OTU_6
OTU_7	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_7
OTU_8	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Trichosporonales	f:Trichosporonaceae	g:Apiotrichum	OTU_8
OTU_9	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Erysiphales	f:Erysiphaceae	g:Blumeria	OTU_9
OTU_11	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Chlorellaceae	g:Apatococcus	OTU_11
OTU_12	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	OTU_12
OTU_13	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	NA	OTU_13
OTU_14	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Chlorellaceae	g:Apatococcus	OTU_14
OTU_15	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Sporobolomyces	OTU_15
OTU_16	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_16
OTU_17	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Bulleribasidiaceae	g:Vishniacozyma	OTU_17
OTU_18	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_18
OTU_20	d:unidentified	NA	NA	NA	NA	NA	OTU_20
OTU_21	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Chlamydomonadales	f:Actinochloridaceae	g:Actinochloris	OTU_21
OTU_22	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Chlorellaceae	g:Apatococcus	OTU_22
OTU_23	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	g:Zymoseptoria	OTU_23
OTU_24	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	NA	OTU_24
OTU_25	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_25
OTU_26	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	g:Zymoseptoria	OTU_26
OTU_27	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_27
OTU_28	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Verrucocladosporium	OTU_28
OTU_29	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Sclerotiniaceae	g:Botrytis	OTU_29
OTU_31	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pyronemataceae	g:Lasiobolidium	OTU_31
OTU_32	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_32
OTU_33	d:Alveolata	p:Ciliophora	NA	NA	NA	NA	OTU_33
OTU_35	d:Alveolata	p:Ciliophora	c:Spirotrichea	o:Sporadotrichida	f:Oxytrichidae	g:Cyrtohymena	OTU_35
OTU_36	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	NA	NA	OTU_36
