plate.number,plate.id,well,sample.id,host,sample.name,host.id,treatment,time,individual
1,plate1vf,C02,ac1,Aegilops.cylindrica,Ac.Mock.t0.1,Ac,Mock,t0,1
1,plate1vf,B09,ac10,Aegilops.cylindrica,Ac.Mock.t2.4,Ac,Mock,t2,4
1,plate1vf,F03,ac11,Aegilops.cylindrica,Ac.Mock.t2.5,Ac,Mock,t2,5
1,plate1vf,D10,ac12,Aegilops.cylindrica,Ac.Zt469.t2.1,Ac,Zt469,t2,1
1,plate1vf,B04,ac13,Aegilops.cylindrica,Ac.Zt469.t2.2,Ac,Zt469,t2,2
1,plate1vf,C09,ac14,Aegilops.cylindrica,Ac.Zt469.t2.3,Ac,Zt469,t2,3
1,plate1vf,D12,ac15,Aegilops.cylindrica,Ac.Zt469.t2.4,Ac,Zt469,t2,4
1,plate1vf,E08,ac16,Aegilops.cylindrica,Ac.Zt469.t2.5,Ac,Zt469,t2,5
1,plate1vf,B10,ac17,Aegilops.cylindrica,Ac.Zt549.t2.1,Ac,Zt549,t2,1
1,plate1vf,E10,ac18,Aegilops.cylindrica,Ac.Zt549.t2.2,Ac,Zt549,t2,2
1,plate1vf,D08,ac19,Aegilops.cylindrica,Ac.Zt549.t2.3,Ac,Zt549,t2,3
1,plate1vf,A04,ac2,Aegilops.cylindrica,Ac.Mock.t0.2,Ac,Mock,t0,2
1,plate1vf,B03,ac20,Aegilops.cylindrica,Ac.Zt549.t2.4,Ac,Zt549,t2,4
1,plate1vf,D11,ac21,Aegilops.cylindrica,Ac.Zt549.t2.5,Ac,Zt549,t2,5
1,plate1vf,F05,ac22,Aegilops.cylindrica,Ac.Mock.t4.1,Ac,Mock,t4,1
1,plate1vf,C11,ac23,Aegilops.cylindrica,Ac.Mock.t4.2,Ac,Mock,t4,2
1,plate1vf,E02,ac24,Aegilops.cylindrica,Ac.Mock.t4.3,Ac,Mock,t4,3
1,plate1vf,E03,ac25,Aegilops.cylindrica,Ac.Mock.t4.4,Ac,Mock,t4,4
1,plate1vf,D02,ac26,Aegilops.cylindrica,Ac.Mock.t4.5,Ac,Mock,t4,5
1,plate1vf,B06,ac27,Aegilops.cylindrica,Ac.Zt469.t4.1,Ac,Zt469,t4,1
1,plate1vf,C07,ac28,Aegilops.cylindrica,Ac.Zt469.t4.2,Ac,Zt469,t4,2
1,plate1vf,F02,ac29,Aegilops.cylindrica,Ac.Zt469.t4.3,Ac,Zt469,t4,3
1,plate1vf,F07,ac3,Aegilops.cylindrica,Ac.Zt469.t0.1,Ac,Zt469,t0,1
1,plate1vf,B07,ac30,Aegilops.cylindrica,Ac.Zt469.t4.4,Ac,Zt469,t4,4
1,plate1vf,F04,ac31,Aegilops.cylindrica,Ac.Zt469.t4.5,Ac,Zt469,t4,5
1,plate1vf,E06,ac32,Aegilops.cylindrica,Ac.Zt549.t4.1,Ac,Zt549,t4,1
1,plate1vf,A06,ac33,Aegilops.cylindrica,Ac.Zt549.t4.2,Ac,Zt549,t4,2
1,plate1vf,C01,ac34,Aegilops.cylindrica,Ac.Zt549.t4.3,Ac,Zt549,t4,3
1,plate1vf,E09,ac35,Aegilops.cylindrica,Ac.Zt549.t4.4,Ac,Zt549,t4,4
1,plate1vf,C03,ac36,Aegilops.cylindrica,Ac.Zt549.t4.5,Ac,Zt549,t4,5
1,plate1vf,A05,ac37,Aegilops.cylindrica,Ac.Mock.t7.1,Ac,Mock,t7,1
1,plate1vf,D05,ac38,Aegilops.cylindrica,Ac.Mock.t7.2,Ac,Mock,t7,2
1,plate1vf,C12,ac39,Aegilops.cylindrica,Ac.Mock.t7.3,Ac,Mock,t7,3
1,plate1vf,F06,ac4,Aegilops.cylindrica,Ac.Zt469.t0.2,Ac,Zt469,t0,2
