strain	diam	ratio.com	fc.com	z.phe.c	ratio.inc	fc.inc	z.phe.i
ac123	0.625	0.6	-0.736965594166206	I	0.760975609756098	-0.394077880643198	I
ac124	0.3375	0.324	-1.62593428177746	I	0.380487804878049	-1.3940778806432	I
ac125	0.625	0.6	-0.736965594166206	I	0.790243902439024	-0.339630096620821	I
ac126	0.6625	0.636	-0.652901329377732	I	1.05365853658537	0.0754074026580226	N
ac127	0.475	0.456	-1.13289427049735	I	0.424390243902439	-1.23653660365672	I
ac128	0.9	0.864	-0.210896782498619	N	NA	0	N
ac129	0	0	-2	I	0	-2	I
ac130	0.6	0.576	-0.795859283219775	I	0.409756097560976	-1.28716267672669	I
ac131	1.025	0.984	-0.0232697793228474	N	0.892682926829268	-0.163780261221404	N
ac132	0.8875	0.852	-0.231074664436249	N	0.663414634146341	-0.592017258255107	I
ac133	0.583333333333333	0.56	-0.836501267717121	I	0.746341463414634	-0.422092256812794	I
ac134	0.375	0.36	-1.47393118833241	I	0.219512195121951	-2.18762700317577	I
ac135	0.5875	0.564	-0.826232932263294	I	0.658536585365854	-0.602664502454615	I
ac136	0.275	0.264	-1.92139016530363	I	0.351219512195122	-1.50955509806313	I
ac138	0.675	0.648	-0.625934281777462	I	0.717073170731707	-0.479807754669081	I
ac139	0.2375	0.228	-2.13289427049735	I	0.380487804878049	-1.3940778806432	I
ac140	0.7875	0.756	-0.403541860441015	I	0.892682926829268	-0.163780261221404	N
ac141	0.7	0.672	-0.573466861883327	I	0.878048780487805	-0.187627003175771	N
ac144	0.55	0.528	-0.921390165303633	I	0.892682926829268	-0.163780261221404	N
ac146	0.75	0.72	-0.473931188332412	I	0.892682926829268	-0.163780261221404	N
ac147	0.825	0.792	-0.336427664582478	I	1.02439024390244	0.0347654181606766	N
ac148	0.7375	0.708	-0.49817873457909	I	1.0390243902439	0.0552295207203923	N
ac149	0.625	0.6	-0.736965594166206	I	0.819512195121951	-0.287162676726686	N
ac150	0.5625	0.54	-0.888968687611256	I	0.760975609756098	-0.394077880643198	I
ac151	0.7125	0.684	-0.547931769776189	I	0.848780487804878	-0.236536603656718	N
hm69	0	0	-2	I	0	-2	I
hm70	0	0	-2	I	0	-2	I
hm71	0.5	0.54421768707483	-0.877744249949002	I	0.397727272727273	-1.33014860169233	I
hm73	0.6125	0.666666666666667	-0.584962500721156	I	0.488636363636364	-1.0331668639352	I
hm74	0.8	0.870748299319728	-0.199672344836364	N	0.590909090909091	-0.758991900496205	I
hm75	0.65	0.707482993197279	-0.499232626695272	I	0.606060606060606	-0.722466024471091	I
hm76	0.6125	0.666666666666667	-0.584962500721156	I	0.670454545454545	-0.576788569275456	I
hm77	0.5875	0.639455782312925	-0.645083493158727	I	0.420454545454545	-1.24997825300835	I
hm79	0.7875	0.857142857142857	-0.222392421336448	N	0.681818181818182	-0.552541023028779	I
hm80	0	0	-2	I	0	-2	I
hm82	0.5125	0.557823129251701	-0.842120340218281	I	0.375	-1.41503749927884	I
hm83	0.7375	0.802721088435374	-0.317029295474523	N	0.636363636363636	-0.652076696579693	I
hm84	0.675	0.73469387755102	-0.444784842672896	I	0.659090909090909	-0.601450623509725	I
hm85	0.5625	0.612244897959184	-0.70781924850669	I	0.431818181818182	-1.21150410519371	I
ac118	NA	1	0	N	1	0	N
hm39	NA	1	0	N	1	0	N
hm36	NA	1	0	N	1	0	N
