strain	diam	com.ratio	inc.ratio	com.fc	inc.fc	f.phe.c	f.phe.i
ac123	2	1.40625	1.35625	0.491853096329675	0.439623137557117	P	P
ac124	2.6	0.865384615384615	1.01923076923077	-0.208586621811418	0.0274807364221069	N	N
ac125	1.95	0.987179487179487	1.00641025641026	-0.0186156781673469	0.00921853002937863	N	N
ac126	2.6625	0.957746478873239	0.906103286384977	-0.0622842782543427	-0.142252582957758	N	N
ac127	8	1	1	0	0	N	N
ac128	1.61666666666667	1.44329896907216	NA	0.529370174757839	0	P	N
ac129	8	1	1	0	0	N	N
ac130	8	1	1	0	0	N	N
ac131	2.0125	0.801242236024845	0.894409937888199	-0.319689622691363	-0.160991876672305	N	N
ac132	2.425	0.896907216494845	0.865979381443299	-0.156969346338399	-0.207595419408367	N	N
ac133	3.1	0.596774193548387	0.733870967741935	-0.744742944757925	-0.446401670188179	I	I
ac134	8	1	1	0	0	N	N
ac135	2.51666666666667	1.00827814569536	1.01324503311258	0.0118936785812535	0.0189831033675726	N	N
ac136	8	1	1	0	0	N	N
ac138	1.975	1.39240506329114	1.30801687763713	0.477578965347557	0.387381156375978	P	P
ac139	8	1	1	0	0	N	N
ac140	2.1125	1.01775147928994	0.976331360946746	0.0253853184199137	-0.0345572220363684	N	N
ac141	1.68333333333333	0.995049504950495	0.972772277227723	-0.00715979157286613	-0.0398259804931883	N	N
ac144	2.3875	0.931937172774869	0.958115183246073	-0.101695397069351	-0.0617289897517063	N	N
ac146	2.0625	0.939393939393939	0.96969696969697	-0.0901978089715781	-0.0443941193584534	N	N
ac147	2.15	0.959302325581395	0.947674418604651	-0.0599425404562821	-0.0775366004710202	N	N
ac148	2.1375	1.07017543859649	1.04093567251462	0.0978473233981446	0.0578809160805	N	N
ac149	3.3375	0.902621722846442	0.857677902621723	-0.147806595457592	-0.22149214359061	N	N
ac150	2.1	0.839285714285714	0.833333333333333	-0.252766070379967	-0.263034405833794	N	N
ac151	2.3125	1	0.572972972972973	0	-0.803461005953113	N	I
hm69	8	1	1	0	0	N	N
hm70	8	1	1	0	0	N	N
hm71	2.1625	0.595375722543353	0.676300578034682	-0.748127700453506	-0.56426350805332	I	I
hm73	2.5875	0.763285024154589	0.739130434782609	-0.389706209322222	-0.436099114806673	I	I
hm74	1.8875	0.980132450331126	0.980132450331126	-0.0289513736961289	-0.0289513736961289	N	N
hm75	2.15	0.976744186046512	0.953488372093023	-0.0339473319233375	-0.0687127500840144	N	N
hm76	1.95	0.685897435897436	0.615384615384615	-0.543935232461101	-0.700439718141092	I	I
hm77	2.1625	0.705202312138728	0.682080924855491	-0.503890890073838	-0.551985178274883	I	I
hm79	1.1125	1.25842696629213	1.13483146067416	0.331621491091206	0.182478051785397	P	N
hm80	8	1	1	0	0	N	N
hm82	2.05	0.695121951219512	0.713414634146341	-0.524661990453342	-0.487187285034679	I	I
hm83	1.75	0.664285714285714	0.671428571428571	-0.590124205836935	-0.574694165267329	I	I
hm84	1.725	1	1.15217391304348	-1.60171325190746e-16	0.204358498506186	N	N
hm85	2.2375	0.837988826815643	0.927374301675978	-0.254997086768375	-0.108776345917331	N	N
ac118	NA	NA	NA	0	0	N	N
hm39	NA	NA	NA	0	0	N	N
hm36	NA	NA	NA	0	0	N	N
