Strain	control_diameter	compatible_diameter	incompatible_diameter
ac123	2	2.8125	2.7125
ac124	2.6	2.25	2.65
ac125	1.95	1.925	1.9625
ac126	2.6625	2.55	2.4125
ac127	8	8	8
ac128	1.61666666666667	2.33333333333333	NA
ac129	8	8	8
ac130	8	8	8
ac131	2.0125	1.6125	1.8
ac132	2.425	2.175	2.1
ac133	3.1	1.85	2.275
ac134	8	8	8
ac135	2.51666666666667	2.5375	2.55
ac136	8	8	8
ac138	1.975	2.75	2.58333333333333
ac139	8	8	8
ac140	2.1125	2.15	2.0625
ac141	1.68333333333333	1.675	1.6375
ac144	2.3875	2.225	2.2875
ac146	2.0625	1.9375	2
ac147	2.15	2.0625	2.0375
ac148	2.1375	2.2875	2.225
ac149	3.3375	3.0125	2.8625
ac150	2.1	1.7625	1.75
ac151	2.3125	2.3125	1.325
hm69	8	8	8
hm70	8	8	8
hm71	2.1625	1.2875	1.4625
hm73	2.5875	1.975	1.9125
hm74	1.8875	1.85	1.85
hm75	2.15	2.1	2.05
hm76	1.95	1.3375	1.2
hm77	2.1625	1.525	1.475
hm79	1.1125	1.4	1.2625
hm80	8	8	8
hm82	2.05	1.425	1.4625
hm83	1.75	1.1625	1.175
hm84	1.725	1.725	1.9875
hm85	2.2375	1.875	2.075
