strain	compatible_diameter	incompatible_diameter
ac123	0.625	0.65
ac124	0.3375	0.325
ac125	0.625	0.675
ac126	0.6625	0.9
ac127	0.475	0.3625
ac128	0.9	NA
ac129	0	0
ac130	0.6	0.35
ac131	1.025	0.7625
ac132	0.8875	0.566666666666667
ac133	0.583333333333333	0.6375
ac134	0.375	0.1875
ac135	0.5875	0.5625
ac136	0.275	0.3
ac137	0.8125	0.7375
ac138	0.675	0.6125
ac139	0.2375	0.325
ac140	0.7875	0.7625
ac141	0.7	0.75
ac142	0.8	0.7875
ac143	0.716666666666667	0.8
ac144	0.55	0.7625
ac145	0.4	0.425
ac146	0.75	0.7625
ac147	0.825	0.875
ac148	0.7375	0.8875
ac149	0.625	0.7
ac150	0.5625	0.65
ac151	0.7125	0.725
hm69	0	0
hm70	0	0
hm71	0.5	0.4375
hm72	0.7	0.65
hm73	0.6125	0.5375
hm74	0.8	0.65
hm75	0.65	0.666666666666667
hm76	0.6125	0.7375
hm77	0.5875	0.4625
hm78	0.8	NA
hm79	0.7875	0.75
hm80	0	0
hm81	0	0
hm82	0.5125	0.4125
hm83	0.7375	0.7
hm84	0.675	0.725
hm85	0.5625	0.475
