pathogen	od	bacteria	halo	ttc	colony																	
Zt469	2.7	ac9	0.68	0.00	0.30																	
Zt469	2.7	ac9	0.80	0.00	0.32																	
Zt469	2.7	ac9	0.86	0.00	0.26																	
Zt469	2.7	ac9	0.90	0.00	0.30																	
Zt469	1.35	ac9	0.00	0.00	0.28																	
Zt469	1.35	ac9	0.00	0.00	0.30																	
Zt469	1.35	ac9	0.00	0.00	0.28																	
Zt469	1.35	ac9	0.00	0.00	0.32																	
Zt469	2.7	ac26	1.08	0.93	0.29																	
Zt469	2.7	ac26	1.51	1.12	0.35																	
Zt469	2.7	ac26	1.15	0.95	0.35																	
Zt469	2.7	ac26	1.27	1.15	0.31																	
Zt469	1.35	ac26	0.78	0.60	0.34																	
Zt469	1.35	ac26	1.04	0.90	0.35																	
Zt469	1.35	ac26	0.82	0.58	0.39																	
Zt469	1.35	ac26	0.58	0.32	0.31																	
Zt469	2.7	ac30	0.89	1.00	0.33																	
Zt469	2.7	ac30	0.64	0.55	0.30																	
Zt469	2.7	ac30	0.49	0.28	0.28																	
Zt469	2.7	ac30	0.00	0.92	0.33																	
Zt469	1.35	ac30	1.07	0.35	0.33																	
Zt469	1.35	ac30	0.00	0.33	0.40																	
Zt469	1.35	ac30	0.00	0.38	0.32																	
Zt469	1.35	ac30	0.00	0.35	0.33																	
Zt469	2.7	ac66	0.00	1.70	0.33																	
Zt469	2.7	ac66	1.53	1.80	0.30																	
Zt469	2.7	ac66	1.47	1.67	0.34																	
Zt469	2.7	ac66	1.16	1.92	0.32																	
Zt469	1.35	ac66	1.27	0.87	0.35																	
Zt469	1.35	ac66	0.71	0.82	0.33																	
Zt469	1.35	ac66	0.65	0.72	0.35																	
Zt469	1.35	ac66	0.62	0.88	0.37																	
Zt469	2.7	No-bacteria	0.00	1.13	0.43																	
Zt469	2.7	No-bacteria	0.00	1.60	0.45																	
Zt469	2.7	No-bacteria	0.00	1.77	0.42																	
Zt469	2.7	No-bacteria	0.00	1.77	0.40																	
Zt469	1.35	No-bacteria	0.00	1.65	0.43																	
Zt469	1.35	No-bacteria	0.00	1.53	0.37																	
Zt469	1.35	No-bacteria	0.00	1.67	0.47																	
Zt469	1.35	No-bacteria	0.00	1.52	0.42																	
Zt469	2.7	No-bacteria	0.00	1.53	0.35																	
Zt469	2.7	No-bacteria	0.00	1.93	0.37																	
Zt469	2.7	No-bacteria	0.00	1.78	0.40																	
Zt469	2.7	No-bacteria	0.00	0.77	0.35																	
Zt469	1.35	No-bacteria	0.00	1.88	0.40																	
Zt469	1.35	No-bacteria	0.00	0.50	0.37																	
Zt469	1.35	No-bacteria	0.00	1.50	0.40																	
Zt469	1.35	No-bacteria	0.00	1.23	0.40																	
Zt549	2.7	ac9	0.48	0.00	0.33																	
Zt549	2.7	ac9	0.62	0.00	0.34																	
Zt549	2.7	ac9	0.67	0.00	0.35																	
Zt549	2.7	ac9	0.6	0.00	0.32																	
Zt549	1.35	ac9	0	0.00	0.33																	
Zt549	1.35	ac9	0	0.00	0.34																	
Zt549	1.35	ac9	0	0.00	0.32																	
Zt549	1.35	ac9	0	0.00	0.34																	
Zt549	2.7	ac26	0	0.00	0.32																	
Zt549	2.7	ac26	0	0.00	0.35																	
Zt549	2.7	ac26	0	0.00	0.32																	
Zt549	2.7	ac26	0	0.00	0.35																	
Zt549	1.35	ac26	0	0.00	0.34																	
Zt549	1.35	ac26	0	0.00	0.32																	
Zt549	1.35	ac26	0	0.00	0.37																	
Zt549	1.35	ac26	0	0.00	0.29																	
Zt549	2.7	ac30	0	0.00	0.30																	
Zt549	2.7	ac30	0	0.00	0.27																	
Zt549	2.7	ac30	0	0.00	0.34																	
Zt549	2.7	ac30	0	0.00	0.35																	
Zt549	1.35	ac30	0	0.00	0.35																	
Zt549	1.35	ac30	0	0.00	0.29																	
Zt549	1.35	ac30	0	0.00	0.37																	
Zt549	1.35	ac30	0	0.00	0.33																	
Zt549	2.7	ac66	0.61	0.00	0.37																	
Zt549	2.7	ac66	1	0.00	0.32																	
Zt549	2.7	ac66	0.95	0.00	0.31																	
Zt549	2.7	ac66	0.62	0.00	0.32																	
Zt549	1.35	ac66	0.58	0.00	0.29																	
Zt549	1.35	ac66	0.53	0.00	0.32																	
Zt549	1.35	ac66	0.52	0.00	0.34																	
Zt549	1.35	ac66	0.58	0.00	0.37																	
Zt549	2.7	No-bacteria	0.00	1.77	0.42																	
Zt549	2.7	No-bacteria	0.00	1.70	0.47																	
Zt549	2.7	No-bacteria	0.00	1.34	0.42																	
Zt549	2.7	No-bacteria	0.00	1.10	0.40																	
Zt549	1.35	No-bacteria	0.00	0.79	0.43																	
Zt549	1.35	No-bacteria	0.00	1.17	0.38																	
Zt549	1.35	No-bacteria	0.00	1.10	0.40																	
Zt549	1.35	No-bacteria	0.00	1.07	0.41																	
Zpa796	2.7	ac9	0.68	0.00	0.22																	
Zpa796	2.7	ac9	0.80	0.00	0.24																	
Zpa796	2.7	ac9	0.00	0.00	0.29																	
Zpa796	2.7	ac9	0.00	0.00	0.23																	
Zpa796	1.35	ac9	0.00	0.00	0.23																	
Zpa796	1.35	ac9	0.00	0.00	0.23																	
Zpa796	1.35	ac9	0.00	0.00	0.22																	
Zpa796	1.35	ac9	0.00	0.00	0.21																	
Zpa796	2.7	ac26	0.00	0.00	0.29																	
Zpa796	2.7	ac26	0.00	0.00	0.28																	
Zpa796	2.7	ac26	0.00	0.00	0.31																	
Zpa796	2.7	ac26	0.00	0.00	0.30																	
Zpa796	1.35	ac26	0.00	0.00	0.34																	
Zpa796	1.35	ac26	0.00	0.00	0.28																	
Zpa796	1.35	ac26	0.00	0.00	0.22																	
Zpa796	1.35	ac26	0.00	0.00	0.34																	
Zpa796	2.7	ac30	0.00	0.00	0.37																	
Zpa796	2.7	ac30	0.00	0.00	0.30																	
Zpa796	2.7	ac30	0.00	0.00	0.34																	
Zpa796	2.7	ac30	0.00	0.00	0.37																	
Zpa796	1.35	ac30	0.00	0.00	0.28																	
Zpa796	1.35	ac30	0.00	0.00	0.28																	
Zpa796	1.35	ac30	0.00	0.00	0.30																	
Zpa796	1.35	ac30	0.00	0.00	0.25																	
Zpa796	2.7	ac66	0.00	0.00	0.37																	
Zpa796	2.7	ac66	0.00	0.00	0.34																	
Zpa796	2.7	ac66	0.00	0.00	0.37																	
Zpa796	2.7	ac66	0.00	0.00	0.40																	
Zpa796	1.35	ac66	0.00	0.00	0.30																	
Zpa796	1.35	ac66	0.00	0.00	0.33																	
Zpa796	1.35	ac66	0.00	0.00	0.27																	
Zpa796	1.35	ac66	0.00	0.00	0.37																	
Zpa796	2.7	No-bacteria	0.00	0.00	0.42																	
Zpa796	2.7	No-bacteria	0.00	0.00	0.35																	
Zpa796	2.7	No-bacteria	0.00	0.00	0.38																	
Zpa796	2.7	No-bacteria	0.00	0.00	0.38																	
Zpa796	1.35	No-bacteria	0.00	0.00	0.32																	
Zpa796	1.35	No-bacteria	0.00	0.00	0.37																	
Zpa796	1.35	No-bacteria	0.00	0.00	0.32																	
Zpa796	1.35	No-bacteria	0.00	0.00	0.35																	
Zpa21	2.7	ac9	0.00	0.00	0.30																	
Zpa21	2.7	ac9	0.00	0.00	0.34																	
Zpa21	2.7	ac9	0.00	0.00	0.29																	
Zpa21	2.7	ac9	0.00	0.00	0.31																	
Zpa21	1.35	ac9	0.00	0.00	0.34																	
Zpa21	1.35	ac9	0.00	0.00	0.25																	
Zpa21	1.35	ac9	0.00	0.00	0.22																	
Zpa21	1.35	ac9	0.00	0.00	0.22																	
Zpa21	2.7	ac26	0.00	0.00	0.33																	
Zpa21	2.7	ac26	0.00	0.00	0.31																	
Zpa21	2.7	ac26	0.00	0.00	0.31																	
Zpa21	2.7	ac26	0.00	0.00	0.33																	
Zpa21	1.35	ac26	0.00	0.00	0.34																	
Zpa21	1.35	ac26	0.00	0.00	0.24																	
Zpa21	1.35	ac26	0.00	0.00	0.27																	
Zpa21	1.35	ac26	0.00	0.00	0.34																	
Zpa21	2.7	ac30	0.00	0.00	0.30																	
Zpa21	2.7	ac30	0.00	0.00	0.31																	
Zpa21	2.7	ac30	0.00	0.00	0.27																	
Zpa21	2.7	ac30	0.00	0.00	0.32																	
Zpa21	1.35	ac30	0.00	0.00	0.28																	
Zpa21	1.35	ac30	0.00	0.00	0.27																	
Zpa21	1.35	ac30	0.00	0.00	0.29																	
Zpa21	1.35	ac30	0.00	0.00	0.34																	
Zpa21	2.7	ac66	0.00	0.00	0.38																	
Zpa21	2.7	ac66	0.00	0.00	0.35																	
Zpa21	2.7	ac66	0.00	0.00	0.34																	
Zpa21	2.7	ac66	0.00	0.00	0.35																	
Zpa21	1.35	ac66	0.00	0.00	0.34																	
Zpa21	1.35	ac66	0.00	0.00	0.35																	
Zpa21	1.35	ac66	0.00	0.00	0.32																	
Zpa21	1.35	ac66	0.00	0.00	0.34																	
Zpa21	2.7	No-bacteria	0.00	0.00	0.37																	
Zpa21	2.7	No-bacteria	0.00	0.00	0.44																	
Zpa21	2.7	No-bacteria	0.00	0.72	0.41																	
Zpa21	2.7	No-bacteria	0.00	0.75	0.40																	
Zpa21	1.35	No-bacteria	0.00	0.00	0.40																	
Zpa21	1.35	No-bacteria	0.00	0.61	0.40																	
Zpa21	1.35	No-bacteria	0.00	0.00	0.37																	
Zpa21	1.35	No-bacteria	0.00	0.80	0.41																	
